order_id,order_date,customer_id,product_id,quantity,unit_price,status,region
ORD-001,2024-01-15,C001,P003,2,24.99,complete,North West
ORD-002,2024-01-15,C002,P007,1,14.99,complete,South East
ORD-003,2024-01-16,C003,P001,1,89.99,complete,Scotland
ORD-004,2024-01-16,C004,P005,2,129.99,complete,Yorkshire
ORD-005,2024-01-17,C005,P009,1,49.99,pending,London
ORD-006,2024-01-18,C006,P002,1,59.99,complete,Midlands
ORD-008,2024-01-18,C008,P006,1,149.99,pending,Wales
ORD-009,2024-01-19,C001,P008,2,19.99,complete,North West
ORD-010,2024-01-20,C009,P004,1,18.99,cancelled,Unknown
ORD-012,2024-01-21,C011,P007,3,14.99,complete,London
ORD-014,2024-01-22,C013,P005,1,129.99,complete,South East
ORD-015,2024-01-22,C014,P009,2,49.99,pending,Midlands
ORD-016,2024-01-22,C015,P002,1,59.99,complete,North East
ORD-017,2024-01-23,C016,P006,1,149.99,cancelled,Unknown
ORD-018,2024-01-24,C017,P004,4,18.99,complete,South West
ORD-020,2024-01-25,C019,P008,1,19.99,complete,London
ORD-022,2024-01-25,C021,P003,2,24.99,complete,North West
ORD-023,2024-01-26,C022,P007,5,14.99,complete,South East
ORD-024,2024-01-26,C023,P005,1,129.99,complete,Wales
ORD-025,2024-01-26,C024,P009,3,49.99,pending,Scotland
ORD-026,2024-01-28,C025,P002,2,59.99,complete,North West
ORD-027,2024-01-28,C026,P004,1,18.99,complete,Yorkshire
ORD-028,2024-01-29,C027,P008,3,19.99,pending,London
